Planet,City/Town,Name,ID Number,Valuation,Annual Profit,Industry,Specialty,Chairperson,CEO,CFO,COO,Other Employees,Link to Mentions
Novum Domitros,,Clear Horizon Education,,,,Education,Online Learning Platforms,Megan Anderson,Chris Walters,Erin Hughes,Noah Peterson,,
Novum Domitros,,Peak Performance Education,,,,Education,Workforce Development Programs,Jennifer Howard,Matthew Scott,David Adams,Laura Reed,,
Novum Domitros,,Summit Education Group,,,,Education,K-12 Charter Schools,Jessica Collins,Daniel Edwards,Lisa Robinson,Adam Stewart,,
Novum Domitros,,Starling Education Services,,,,Education,University & Adult Education,Alexander Harris,Emily Ward,Joshua Kelly,Sarah Davis,,
Novum Domitros,,Voltaris Energy Solutions,,,,Electricity,Renewable Power Grids,Halen Cyris,Valra Doran,Moren Valys,Dylis Xenith,,
Novum Domitros,,EcoFlow Energy Systems,,,,Electricity,Renewable Energy Solutions,Alan Pierce,Jenna Mills,Victor Reyes,Hannah Lee,,
Novum Domitros,,Sunbeam Energy Group,,,,Electricity,Solar Energy Solutions,Laura Evans,Bradley Hunt,Megan Dixon,Ryan Brooks,,
Novum Domitros,,Aurora Energy Systems,,,,Electricity,Solar & Wind Energy Solutions,Voss Kalden,Salis Vorrax,Alexander Morris,Voren Xaltis,,Niko Power Plant
Novum Domitros,,NorthernLights Power,,,,Electricity,State Owned Energy Provider,Ethan Howard,Sophia Thompson,Alexander Hughes,Chloe Lewis,,
Novum Domitros,,Windward Power Company,,,,Electricity,Wind Farm Operations & Maintenance,Jarek Solthar,Grace Thompson,Daniel Morgan,Sarah King,,Darcey Wind Station
Novum Domitros,,Apex Finance Group,,,,Finance,Asset Management & Investment,Ethan Russell,Valen Krysa,Helia Nivros,Tarik Xanther,,
Novum Domitros,,GlobalBank Investments,,,,Finance,Banking & Financial Services,Jorik Valtren,Theris Xynis,Korvan Delrix,Velis Thalon,,
Novum Domitros,,PrimeCorp Financial Group,,,,Finance,Wealth Management & Investment,Leland Ford,Valerie Stone,Neil Barrett,Claire Dawson,,
Novum Domitros,,Unity Financial Services,,,,Finance,Personal & Business Banking,Sandra Owens,Michael Hodge,Dylan Quinn,Jessica Campbell,,
Novum Domitros,,Everbright Financial,,,,Finance,Investment Banking,Samuel Rogers,Emily Foster,Brandon Torres,Grace Reed,,
Novum Domitros,,OceanStar Fishing Co.,,,,Fishing,Deep-Sea Sustainable Fishing,Varis Kenthar,,Thera Volrin,,,
Novum Domitros,,Ocean Harvest Fisheries,,,,Fishing,Deep Sea Fishing & Processing,Mark Anders,Victor Holt,Miranda Ellis,Olivia Kramer,,
Novum Domitros,,Coastal Harvest Fisheries,,,,Fishing,Sustainable Seafood Production,Patricia Wells,Kevin York,Maya Ortiz,Joshua Carter,,
Novum Domitros,,Oceanwind Fisheries,,,,Fishing,Oceanic Seafood Harvesting,Simon Parker,Lily Stewart,Benjamin Coleman,Chloe Morgan,,
Novum Domitros,,DeepBlue Fishing Co.,,,,Fishing,Sustainable Seafood Processing,Daniel Baker,Grace Ward,Henry Parker,Olivia Stewart,,
Novum Domitros,,AquaSource Fishing Co.,,,,Fishing,Coastal Fishing & Fish Processing,Jacob Evans,Emma Sanders,Jack Perry,Lauren Cooper,,
Novum Domitros,,ForestGuard Consortium,,,,Forestry,Sustainable Forest Management,Nira Kalros,Valron Drentha,Senya Fervil,Jarek Torval,,
Novum Domitros,,EcoForest Enterprises,,,,Forestry,Forest Conservation & Harvesting,Velin Sollis,Nerin Haros,Zelra Venith,Feryn Cyrros,,
Novum Domitros,,South Timber Company,,,,Forestry,Lumber & Forestry,Steven Brooks,Laura Benson,Jordan Wells,Rachel Nolan,,South Hills Forest
Novum Domitros,,Verdant Tech Forestry,,,,Forestry,Sustainable Wood Harvesting,Walter Griffin,Nicole Warren,Owen Parker,Katie Daniels,,
Novum Domitros,,Frontier Timber Co.,,,,Forestry,Timber Harvest & Conservation,Frank Warren,Leah Sanders,Matt Ford,Julia Lewis,,
Novum Domitros,,Timberline Forestry Co.,,,,Forestry,Sustainable Timber & Reforestation,Walter Green,Rachel Morgan,Ethan Scott,Lauren Mitchell,,
Novum Domitros,,TimberTech Industries,,,,Forestry,Wood Products & Forest Management,William Carter,Laura Lewis,Benjamin Clark,Sophie Gray,,
Novum Domitros,,ForestBridge Timber,,,,Forestry,Sustainable Paper Production,Matthew Henderson,Sarah Long,William Carter,Emily Brooks,,
Novum Domitros,,MediTech Innovations,,,,Healthcare,Advanced Medical Devices,Elyra Vorren,Vara Solis,Ferys Dovran,Syra Halon,,
Novum Domitros,,PulseTech Healthcare,,,,Healthcare,Medical Diagnostics & Devices,Seva Dralton,Alira Vorex,Kalor Tharven,Venara Kylis,,
Novum Domitros,,PulseCare Health,,,,Healthcare,Health Services & Hospitals,Julia Maddox,Nathan Webb,Emma Taylor,Scott Hartman,,
Novum Domitros,,Horizon Medical,,,,Healthcare,Health Clinics & Emergency Care,Olivia Roberts,Thomas Hale,Sarah Jackson,Dylan Myers,,
Novum Domitros,,InfoSphere Systems,,,,Information,Data Management & Cloud Solutions,Xyros Kalven,Zina Rhylis,Karet Dynes,Lyria Tarven,,
Novum Domitros,,StellarTech Information,,,,Information,Data Storage & IT Solutions,Xavier Grant,Michelle Lane,Alex Ramirez,Charlotte Harper,,
Novum Domitros,,ByteWave Information,,,,Information,Cybersecurity & Data Management,Noah Harper,Megan Blake,Alex Wright,Olivia Hill,,
Novum Domitros,,DataBridge Systems,,,,Information,Cloud Computing & Networking,Chris Russell,Emma Wright,Jason Cox,Natalie Adams,,
Novum Domitros,,Cybershield Solutions,,,,Information,IT Support & Data Protection,Chris Mitchell,Natalie Wright,Joshua Edwards,Sophia Howard,,
Novum Domitros,,ProSteel Manufacturing,,,,Manufacturing,Structural Steel Fabrication,Xelrik Malron,Daron Lys,Sila Tyrex,Zorvath Selvan,,
Novum Domitros,,NovaSteel Manufacturing,,,,Manufacturing,High-Strength Alloys,Ethan Vance,Delia Ryker,Gregor Hale,Vanessa Ortiz,,
Novum Domitros,,Ironclad Manufacturing,,,,Manufacturing,Heavy Machinery & Steelworks,Harold Tate,Jacob Fisher,Lucas Walsh,Emma Jordan,,
Novum Domitros,,Steelcore Manufacturing,,,,Manufacturing,Precision Metal Fabrication,Grant Harper,Amanda Waters,Joseph Black,Megan Price,,
Novum Domitros,,OreXtract Mining,,,,Mining,Rare Mineral Extraction,Velmar Xith,Dalen Horis,Kyra Nevrin,Sorva Lenros,,
Novum Domitros,,Frontier Mining Co.,,,,Mining,Surface & Subsurface Mining,Thoren Lys,Karya Valen,Jaren Hyrith,Venra Cyrith,,
Novum Domitros,,Atlas Mining Co.,,,,Mining,Resource Extraction & Refining,Robert Quinn,Sofia Blake,Henry Wells,Nathan Clarke,,Sorel Mine (Space)
Novum Domitros,,Beacon Minerals,,,,Mining,Rare Earth Metal Extraction,George Stone,Ella Richardson,Parker Hale,Brianna Roberts,,
Novum Domitros,,TerraNova Mining,,,,Mining,Mineral Extraction & Processing,George Clark,Olivia Lee,Ryan Phillips,Jessica Price,,
Novum Domitros,,Bright Horizon Mining,,,,Mining,Gemstone & Mineral Exploration,Michael Turner,Emily Clark,Benjamin Walker,Samantha Roberts,,
Novum Domitros,,Ironwood Mining Group,,,,Mining,Heavy Mineral & Ore Mining,James Hughes,Jennifer Clark,Henry Wright,David Lewis,,
Novum Domitros,,QuantumSolutions Corp,,,,Office,Corporate IT Solutions,Rhenar Velis,Velka Tarnis,Oran Dexel,Cyris Tarvol,,
Novum Domitros,,BlueSky Office Solutions,,,,Office,Workspace Design & Tech Integration,Risa Valyn,Darek Sylar,Norah Lysena,Karis Tavel,,
Novum Domitros,,Horizon Real Estate,,,,Real Estate,Commercial Property Development,Delka Xyros,Kylis Velora,Lian Drakes,Voltra Zarrin,,
Novum Domitros,,Expanse Realty,,,,Real Estate,Residential Property Development,Vira Nareth,Talen Voltrax,Relis Zarith,Xyra Kordis,,
Novum Domitros,,Blue Sky Realty,,,,Real Estate,Commercial Property Leasing,Sophie Kendall,Richard Hale,Ella Mason,Oscar Winters,,
Novum Domitros,,Apex Realty Partners,,,,Real Estate,Residential & Commercial Properties,Linda Davis,Marcus Bell,Nora Jenkins,Jake Morgan,,
Novum Domitros,,Lakeview Realty,,,,Real Estate,Commercial Leasing & Development,Sophia Newton,Jacob Sanders,Chloe Barrett,Ryan Walsh,,
Novum Domitros,,OmniRetail Enterprises,,,,Retail,Consumer Electronics & Apparel,Zareen Ventris,Morvin Kalros,Lira Volran,Senka Xerros,,
Novum Domitros,,Horizon Line Retail,,,,Retail,Grocery & Household Goods,Zalra Xevon,Vorex Tylis,Velyn Zarik,Salira Kryn,,
Novum Domitros,,Skyward Retail Group,,,,Retail,Consumer Electronics & Appliances,Ethan Kelly,Sarah Daniels,James Harper,Olivia Wright,,
Novum Domitros,,VistaCorp Retail,,,,Retail,Clothing & Accessories,Noah Martin,Lily Roberts,Matthew Evans,Emma Lee,,
Novum Domitros,,Clearview Retail,,,,Retail,Home Goods & Furniture,Robert Johnson,Olivia Parker,William White,Chloe Green,,
Novum Domitros,,SkyFleet Transport,,,,Transport,"Airports, Cargo & Passenger Air Transport",Selva Krynn,Zalen Vekros,Velka Nythar,Tharek Solith,,East Centrum Planetary Airport
Novum Domitros,,Prime Logistics,,,,Transport,Freight & Shipping Services,Aelra Helith,Myra Sollis,Velro Krynn,Jaren Malith,,
Novum Domitros,,Silverline Logistics,,,,Transport,Freight & Shipping Services,Liam Edwards,Mason Jarrett,Elise Brooks,Ethan Sinclair,,North Coast Docks
Novum Domitros,,Skyline Transport Solutions,,,,Transport,Air & Ground Transport,Aaron Myers,Brandon Keller,Chloe Adams,Lily Matthews,,
Novum Domitros,,TrueNorth Logistics,,,,Transport,Intercontinental Shipping,Daniel Cooper,Stephanie Barrett,Evan Harris,Chloe Sullivan,,Portus Docks & Port Harena
Novum Domitros,,Skybound,,,,Transport,"Air Freight, Cargo & Airport Solutions",Christopher Wood,Sarah Mitchell,Andrew Scott,Matthew Jenkins,,Lacus & Ponsonby Skydocks
Novum Domitros,,Velocity Transport Solutions,,,,Transport,International Shipping & Freight,Alexander King,Emily Simmons,Luke Johnson,Chloe Watson,,
Novum Domitros,,ThunderRoad Logistics,,,,Transport,Ground Freight & Distribution,Nathan Bell,Olivia Bennett,Andrew Young,Victoria Phillips,,
Novum Domitros,,Horizon Logistics Solutions,,,,Transport,Multimodal Transport Services,Samuel Anderson,Emma Evans,Daniel Lewis,Sophia Collins,,
Novum Domitros,,AquaSource Industries,,,,Water,Water Purification & Distribution,Zorin Marix,Felra Dythra,Kovar Lennox,Nyla Solvar,,
Novum Domitros,,StellarWater Solutions,,,,Water,Wastewater Treatment & Recycling,Tarik Dalren,Kyra Zaris,Veyra Tolvik,Serin Vandros,,
Novum Domitros,,Watersource Ltd.,,,,Water,Water Treatment & Distribution,Charles Newton,Kelly Bishop,Mia Fleming,Lucas Turner,,
Novum Domitros,,AquaPure Systems,,,,Water,Water Filtration & Supply Systems,Henry Porter,Alicia Frost,Cole Morgan,Jessica Barnes,,
Novum Domitros,,Crystal Waters Ltd.,,,,Water,Bottled Water & Filtration Systems,Natalie Scott,Andrew Pierce,Jason Myers,Caroline Harper,,
Novum Domitros,,PureSpring Water Co.,,,,Water,Water Supply & Treatment,Anna Clark,Jack Murphy,Melissa Hughes,Peter Foster,,
Novum Domitros,,CrystalClear Waterworks,,,,Water,Municipal Water Treatment,Ryan Young,Sarah Mitchell,Joshua Edwards,Grace Morgan,,
Novum Domitros,,PureFlow Water Systems,,,,Water,Industrial Water Filtration,Michael Brown,Laura Phillips,Thomas Scott,Olivia Wilson,,
